pp-meta,pp-dispute,pp-move-dispute,pp-vandalism,pp-move-vandalism,pp-template,pp-usertalk,pp-semi-usertalk,pp-semi-sock,pp-semi-blp,pp-semi-spambot,pp-semi-indef,pp-move-indef,pp-protected,pp-move,pp-office,reset,permanently protected,temporarily protected,pp-create,protected2,sprotected2
pp-meta,pp-dispute,pp-move-dispute,pp-vandalism,pp-move-vandalism,pp-template,pp-usertalk,pp-semi-usertalk,pp-semi-sock,pp-semi-blp,pp-semi-spambot,pp-semi-indef,pp-move-indef,pp-protected,pp-move,pp-office,reset,permanently protected,temporarily protected,pp-create,protected2,sprotected2
editprotected ,Pp-disputed,,,移動保護,pp-semi-template,ProtectBU,Suprotected,Sprotect-banned,Pp-blp,,Sprotected3,,P-protected ,Moveprotected,Office,,Permprotected,temprotected,Pp-jupe
보호-메타,Protect days,,,, قالب محمي,Protected-blocked, Sutprotected,Sprotect-banneduser,Pp-semi-BLP,,Sprotect2,,Pprotected , Mvprotected,,,Permprot,temprot,Pp-salt
Pp-meta,Protect-ex,,,,حماية_قالب,Uprotected,Usertalk-sprotect2, Sprotected-banneduser,,,Sprotected2,,Protect2 ,移動保護
,Protectdays,,,,,Usertalk-pp,Usertalk-sprotected,,,,보호 문서,,Protected_page 
,Protect,,,,,Usertalk-protect,Vutsemip,,,,半保護,,Protected2 
,Protected,,,,,Usertalk-vprotected,Usertalk-sprotect,,,,,,Protectedpage 
,محافظت,,,,,Vurprotected,,,,,,,Protection2 
,حماية_نزاع,,,,,Vutprotect,,,,,,,Semi 
,,,,,,BlockedUserTalkpage,,,,,,,Semi-protect 
,,,,,, Unblock-abuse,,,,,,,Semiprot 
,,,,,,Unblockabuse,,,,,,,Sprotect-ex 
,,,,,,Usertalk-vprotect,,,,,,,Tprot 
,,,,,,Vutprotected,,,,,,,Tprotect 
,,,,,,Uprotect,,,,,,,Tprotected 
,,,,,,,,,,,,,Vprotected2 
,,,,,,,,,,,,,Pp-semiprotected 
,,,,,,,,,,,,,Protected image 
,,,,,,,,,,,,,Sprot 
,,,,,,,,,,,,,Sprotected 
,,,,,,,,,,,,,PP-protected 
,,,,,,,,,,,,,Pp-full 
,,,,,,,,,,,,,Pp-protect 
,,,,,,,,,,,,,Pp-semi 
,,,,,,,,,,,,,Pp-semi-prot 
,,,,,,,,,,,,,Pp-semi-protect 
,,,,,,,,,,,,,Pp-semi-protected 
,,,,,,,,,,,,,Pp-semi-protection 
,,,,,,,,,,,,,Semiprotect 
,,,,,,,,,,,,,Semiprotected 
,,,,,,,,,,,,,Sprotect
,,,,,,,,,,,,,保護
,,,,,,,,,,,,,移動保護
,,,,,,,,,,,,,قفل
,,,,,,,,,,,,,Pp-protected
