pageid,tags,timestamp,userid,revid,content,user,parentid,minor,size
47512,[],2011-07-20T02:42:27Z,14867616,440414406,,Patrick Schulze,440414147,,55046
47512,[],2011-07-20T02:40:13Z,14867616,440414147,,Patrick Schulze,440413977,,55032
47512,[],2011-07-20T02:38:48Z,14867616,440413977,,Patrick Schulze,440232349,,54991
47512,[],2011-07-19T01:58:41Z,5075619,440232349,,Petersburg,439399683,,54941
47512,[],2011-07-14T08:13:12Z,159678,439399683,,Woohookitty,439352376,,54927
47512,[],2011-07-14T00:37:40Z,10738273,439352376,,564dude,438655111,,54907
47512,[],2011-07-09T23:07:06Z,7320905,438655111,,Luckas-bot,438373539,,54895
47512,[],2011-07-08T07:11:27Z,4838063,438373539,,Mrfebruary,437932709,,54867
47512,[],2011-07-05T20:38:28Z,374195,437932709,,Arthur Rubin,437929102,,54604
47512,[],2011-07-05T20:17:43Z,13105850,437929102,,Marchonore,436111001,,54755
47512,[],2011-06-25T08:46:33Z,203434,436111001,,Rjwilmsi,435249667,,54604
47512,[],2011-06-20T10:37:24Z,85186,435249667,,Dave souza,435249361,,54930
47512,[],2011-06-20T10:34:32Z,85186,435249361,,Dave souza,434294730,,54889
47512,[],2011-06-14T20:31:09Z,4062951,434294730,,Swliv,434266988,,54116
47512,[],2011-06-14T17:21:55Z,12963045,434266988,,Sciencenews,432935614,,54118
47512,[],2011-06-06T23:26:31Z,7328338,432935614,,Yobot,432573843,,53491
47512,[],2011-06-04T20:39:05Z,14536509,432573843,,NewsAndEventsGuy,432524402,,53479
47512,[],2011-06-04T14:43:00Z,6462084,432524402,,Parejkoj,432509500,,53479
47512,[],2011-06-04T12:32:01Z,14536509,432509500,,NewsAndEventsGuy,432509409,,53526
47512,[],2011-06-04T12:31:03Z,14536509,432509409,,NewsAndEventsGuy,432422440,,53524
47512,[],2011-06-03T21:29:36Z,14536509,432422440,,NewsAndEventsGuy,432418890,,53364
47512,[],2011-06-03T21:06:20Z,14536509,432418890,,NewsAndEventsGuy,432411856,,53358
47512,[],2011-06-03T20:18:46Z,14536509,432411856,,NewsAndEventsGuy,432411660,,53122
47512,[],2011-06-03T20:17:20Z,14536509,432411660,,NewsAndEventsGuy,432411116,,53124
47512,[],2011-06-03T20:13:27Z,14536509,432411116,,NewsAndEventsGuy,432407831,,53054
47512,[],2011-06-03T19:51:09Z,14536509,432407831,,NewsAndEventsGuy,432365027,,53434
47512,[],2011-06-03T14:48:45Z,6462084,432365027,,Parejkoj,432361561,,53456
47512,[],2011-06-03T14:22:04Z,14451286,432361561,,Sokavik,432347713,,53455
47512,[],2011-06-03T12:33:53Z,14536509,432347713,,NewsAndEventsGuy,432305679,,53457
